experiment,subject,age,gender,stimulus_identity_condition,extinction_condition,task_order,completeness_acquisition_testing,completeness_acquisition_training,completeness_extinction_testing,completeness_extinction_training,mean_correct_acquisition_training,mean_correct_acquisition_testing,mean_correct_extinction_testing,mean_correct_extinction_training,passed_performance_criterion_acquisition_training,passed_performance_criterion_acquisition_testing,passed_performance_criterion_extinction_testing,passed_performance_criterion_extinction_training,OEC_effect,IR_effect,complete_iat_data,passed_iat_performance,IAT_D2,intentions_response_1_3,intentions_response_2_4,demand_response,reactance_response_1,reactance_response_2,confidence_stim_1,confidence_stim_2,confidence_stim_3,confidence_stim_4,believability_response_1,believability_response_2
1,172,26,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Implicits First,complete,complete,complete,complete,1,1,0.75,1,TRUE,TRUE,TRUE,TRUE,-0.75,-0,complete,0,-0.4529589075704432,I would try neither Brand,I would try Brand 4,Not Demand Compliant,yes,1,-1,0,-1,0,no,NA
1,163,32,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,NA,complete,complete,NA,NA,0.3,0.25,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,140,29,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Implicits First,complete,complete,complete,complete,0.5,0.625,1,1,FALSE,FALSE,TRUE,TRUE,-5,-0,complete,0,0.32722839703908957,I would try neither Brand,I would try neither Brand,Not Demand Compliant,no,NA,0,0,0,0,no,NA
1,106,37,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,complete,complete,complete,complete,1,1,1,1,TRUE,TRUE,TRUE,TRUE,-0,-0,complete,0,-0.18820337174838572,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,yes,1,5,5,5,5,no,NA
1,131,22,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Implicits First,complete,complete,NA,NA,1,1,NA,NA,TRUE,TRUE,NA,NA,-2.75,-1.75,complete,0,0.7475806087681155,I would try neither Brand,I would try Brand 4,Not Demand Compliant,yes,3,0,0,-1,0,yes,5
1,139,34,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Implicits First,complete,complete,complete,complete,0.4,0.375,0.75,1,FALSE,FALSE,TRUE,TRUE,-1.25,1,complete,0,0.2925831336581732,I would try Brand 1,I would try Brand 2,Not Demand Compliant,no,NA,4,4,4,4,yes,9
1,132,28,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Implicits First,complete,complete,NA,NA,0.25,0.25,NA,NA,FALSE,FALSE,NA,NA,-0.75,5.75,complete,0,0.06630174456303133,I would try neither Brand,I would try Brand 4,Not Demand Compliant,yes,7,-3,-3,-3,4,yes,7
1,137,36,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,complete,complete,complete,complete,0.8,1,0.75,0.8,TRUE,TRUE,TRUE,TRUE,-4.5,-0.75,complete,0,0.07740903218540396,I don't know,I don't know,Not Demand Compliant,yes,4,1,0,-3,-2,yes,5
1,108,29,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Implicits First,complete,complete,complete,complete,1,1,1,1,TRUE,TRUE,TRUE,TRUE,-4.5,-2.25,complete,0,0.288748535209438,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,4,-1,-3,-2,-3,no,NA
1,99,31,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Implicits First,complete,complete,NA,NA,1,1,NA,NA,TRUE,TRUE,NA,NA,-0,-0.25,complete,0,0.05651423344568651,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,4,1,0,1,0,no,NA
1,107,36,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Implicits First,complete,complete,complete,complete,0.4,0.25,0.625,1,FALSE,FALSE,FALSE,TRUE,-3,-2.5,complete,0,0.4891272120512219,I would try Brand 1,I would try Brand 4,Not Demand Compliant,yes,5,-1,-1,-1,2,no,NA
